Currency,Change_%,Weight_%,Contribution
CHF,12.840326570930527,2.5,0.3210081642732632
THB,12.550106086210134,1.5,0.188251591293152
TWD,12.020222437154784,3.5,0.4207077853004174
JPY,11.212041830378327,5.0,0.5606020915189164
SEK,9.350073391293467,2.0,0.18700146782586935
EUR,8.798584467439348,17.0,1.4957593594646892
GBP,6.7293047542753435,4.5,0.30281871394239046
SGD,5.876627756310975,2.5,0.14691569390777437
NOK,5.101133558126168,2.0,0.10202267116252337
CNY,1.4361701263574362,12.0,0.17234041516289234
KRW,1.434672406310087,4.0,0.05738689625240348
BRL,1.145998275833675,3.0,0.03437994827501025
CAD,0.4788968131938255,15.0,0.07183452197907382
NZD,-0.9934802946654848,1.5,-0.014902204419982272
INR,-2.164818203966478,3.0,-0.06494454611899433
AUD,-2.509306998152294,3.0,-0.07527920994456883
VND,-2.914997011608272,2.0,-0.05829994023216544
MXN,-2.99063401557036,16.0,-0.47850144249125764
